"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2016-09-01","Scandia",26.3,12.8,76.2,0,1.0,4.9,22.8,13.5,24.9,18.1,22.5,3.92,4.54
"2016-09-02","Scandia",24.8,13.9,74.2,0,1.8,6.5,21.4,13.3,23.9,17.9,21.4,3.97,4.85
"2016-09-03","Scandia",26.5,15.4,76.4,8.64,2.5,7.9,19.5,13.6,22.5,18.2,9.2,2.79,3.75
"2016-09-04","Scandia",29.4,16.8,79.1,19.30,3.7,10.0,22.4,14.4,25.0,18.9,19.0,4.37,5.68
"2016-09-05","Scandia",31.5,22.2,68.5,0,3.8,10.2,24.2,17.6,26.4,21.5,20.8,5.72,7.73
"2016-09-06","Scandia",31.8,22.5,66.9,0,3.2,9.2,25.4,18.2,27.0,21.7,21.2,5.61,7.45
"2016-09-07","Scandia",30.1,20.2,84.0,1.27,1.5,6.3,25.0,19.1,26.4,22.1,12.5,3.07,3.72
"2016-09-08","Scandia",27.6,19.7,89.9,0,1.6,6.9,23.5,18.8,25.0,21.8,9.2,2.29,2.74
"2016-09-09","Scandia",27.1,13.3,84.3,0,2.0,9.0,22.0,14.9,23.8,19.1,10.2,2.56,3.26
"2016-09-10","Scandia",23.8,8.9,63.5,0,1.5,7.0,21.2,11.1,23.1,15.6,22.3,3.87,4.91
"2016-09-11","Scandia",26.6,10.7,63.3,0,2.5,8.9,19.8,10.5,22.2,15.2,21.4,4.57,6.16
"2016-09-12","Scandia",29.6,16.2,74.6,0,2.2,6.6,21.3,13.0,23.5,17.5,12.1,3.53,4.78
"2016-09-13","Scandia",16.6,12.3,97.4,5.84,2.2,7.5,14.9,11.4,19.4,16.2,4.2,1.03,1.21
"2016-09-14","Scandia",18.5,12.2,99.2,1.27,1.0,4.1,15.5,11.1,19.0,15.7,5.5,1.21,1.34
"2016-09-15","Scandia",28.8,16.0,84.6,9.40,2.5,15.1,21.3,13.9,23.9,18.2,14.3,3.56,4.69
"2016-09-16","Scandia",25.0,14.4,89.8,9.40,1.3,7.6,21.8,13.5,24.0,18.0,12.0,2.56,3.13
"2016-09-17","Scandia",29.1,10.7,71.3,0,0.8,5.1,22.3,11.6,24.3,16.4,20.2,3.54,4.33
"2016-09-18","Scandia",28.6,13.8,77.2,0,1.7,6.2,22.6,13.2,24.6,17.6,20.1,3.83,4.70
"2016-09-19","Scandia",31.5,17.1,74.7,0,1.0,4.9,25.1,14.7,26.4,18.8,20.2,3.95,4.76
"2016-09-20","Scandia",33.7,15.6,70.9,0,1.7,7.6,24.8,15.5,26.0,19.1,17.9,4.39,5.80
"2016-09-21","Scandia",31.8,22.1,67.0,0,2.8,7.8,23.4,18.6,24.8,21.4,10.8,4.12,5.89
"2016-09-22","Scandia",33.3,21.8,62.7,0,2.8,8.8,26.0,18.9,26.6,21.4,18.3,5.35,7.43
"2016-09-23","Scandia",31.4,17.4,60.7,0,2.7,8.7,23.9,16.8,24.7,19.6,19.1,5.16,7.25
"2016-09-24","Scandia",25.5,19.8,87.4,7.37,2.3,6.7,21.1,18.3,22.7,20.6,5.3,1.85,2.46
"2016-09-25","Scandia",23.7,6.9,59.4,0,1.9,8.2,20.2,11.3,21.7,15.8,18.0,3.63,5.03
"2016-09-26","Scandia",24.4,4.0,58.4,0,1.3,6.8,18.3,7.8,20.2,12.4,20.0,3.38,4.52
"2016-09-27","Scandia",28.0,6.3,62.6,0,0.8,5.7,19.9,8.2,21.7,12.9,19.7,3.20,4.06
"2016-09-28","Scandia",22.7,8.7,60.4,0,1.3,5.9,18.1,9.1,20.4,14.0,19.7,3.21,4.18
"2016-09-29","Scandia",21.5,4.5,74.7,0,0.7,4.5,18.0,6.5,20.2,11.7,19.3,2.52,2.98
"2016-09-30","Scandia",24.1,4.2,72.5,0,0.7,4.4,18.1,6.4,20.2,11.7,17.8,2.55,3.10
"2016-10-01","Scandia",24.6,6.9,70.0,0,0.7,4.5,18.3,7.8,20.2,12.9,17.3,2.59,3.16
"2016-10-02","Scandia",26.6,11.1,68.6,0,1.8,5.8,19.1,8.9,21.4,13.7,17.8,3.51,4.70
"2016-10-03","Scandia",26.9,13.7,64.3,0,3.7,11.0,17.4,11.0,20.2,15.6,11.1,4.21,6.36
"2016-10-04","Scandia",24.7,10.3,82.0,34.54,2.5,10.0,17.5,10.8,20.3,16.0,8.8,2.51,3.53
"2016-10-05","Scandia",24.4,7.3,69.4,0.25,1.1,4.8,16.9,7.8,19.5,12.9,18.3,2.91,3.78
"2016-10-06","Scandia",17.0,4.2,91.9,0,2.2,9.8,13.4,5.8,16.9,11.3,3.2,1.14,1.55
"2016-10-07","Scandia",19.4,-0.7,64.4,0,1.3,6.9,14.4,3.3,16.7,8.5,18.2,2.59,3.51
"2016-10-08","Scandia",24.7,3.3,56.6,0,1.9,9.3,13.3,4.0,16.0,9.0,17.7,3.70,5.45
"2016-10-09","Scandia",25.0,6.5,59.0,0,2.1,7.9,14.3,5.8,16.9,10.5,16.0,3.74,5.53
"2016-10-10","Scandia",21.3,10.7,70.1,12.70,2.4,7.5,13.3,8.4,16.5,12.8,9.7,2.47,3.49
"2016-10-11","Scandia",24.4,8.5,71.0,0,1.6,8.5,15.9,7.1,18.5,11.8,14.0,2.69,3.65
"2016-10-12","Scandia",12.2,-0.3,69.9,0,2.0,8.6,12.1,4.2,15.1,9.7,14.3,1.83,2.47
"2016-10-13","Scandia",15.4,-2.5,75.1,0.25,1.3,5.6,9.6,1.3,13.1,6.8,13.6,1.88,2.55
"2016-10-14","Scandia",21.3,4.6,84.9,0,2.2,6.8,11.7,3.0,15.0,8.5,9.6,2.05,2.83
"2016-10-15","Scandia",26.4,16.0,77.2,0,2.2,6.9,16.4,9.5,19.6,14.0,8.6,2.50,3.50
"2016-10-16","Scandia",29.0,15.6,83.4,0,2.0,7.7,16.8,10.6,20.0,15.4,8.5,2.87,4.14
"2016-10-17","Scandia",29.1,14.7,59.8,0,2.8,8.1,16.3,9.6,19.4,15.1,15.5,4.44,6.69
"2016-10-18","Scandia",22.6,9.1,47.8,0,1.9,6.9,14.7,6.6,17.9,12.2,15.8,3.13,4.61
"2016-10-19","Scandia",22.9,6.2,64.1,1.27,1.6,6.8,13.3,5.1,16.6,10.8,14.4,2.70,3.88
"2016-10-20","Scandia",15.9,2.8,77.5,0.25,1.3,5.5,12.2,4.6,15.4,10.8,13.6,1.73,2.27
"2016-10-21","Scandia",20.2,0.6,71.7,0,1.8,9.1,10.4,2.3,14.1,8.2,13.8,2.50,3.66
"2016-10-22","Scandia",25.2,0.6,62.9,0,1.6,7.4,11.8,2.1,15.2,8.0,15.6,2.96,4.42
"2016-10-23","Scandia",22.9,6.1,51.7,0,1.8,7.2,11.7,4.5,15.2,10.1,15.1,2.92,4.36
"2016-10-24","Scandia",20.7,4.4,62.6,0,1.7,6.9,11.6,2.8,14.9,8.6,13.5,2.37,3.42
"2016-10-25","Scandia",28.2,11.8,66.2,0,3.0,10.4,14.1,6.2,17.4,11.4,11.4,3.66,5.57
"2016-10-26","Scandia",23.6,9.5,67.3,0,1.4,5.6,14.8,7.3,18.2,13.2,13.4,2.31,3.21
"2016-10-27","Scandia",26.3,5.4,67.4,0,2.4,7.3,12.7,4.9,16.5,10.7,12.6,3.42,5.28
"2016-10-28","Scandia",28.4,14.5,67.0,0,3.0,10.9,14.5,8.6,18.1,13.8,9.0,3.52,5.41
"2016-10-29","Scandia",27.2,10.7,65.3,0,2.0,7.0,16.5,8.4,19.5,13.8,10.9,2.90,4.34
"2016-10-30","Scandia",17.0,7.8,74.7,0,2.1,7.1,12.9,6.7,16.5,12.4,11.1,1.81,2.54
"2016-10-31","Scandia",24.5,8.9,78.8,0,2.8,8.5,13.6,6.3,17.2,12.0,9.1,2.75,4.16
"2016-11-01","Scandia",23.0,9.7,58.2,0,2.5,8.9,12.3,6.4,16.4,12.2,9.2,2.62,3.97
